,Yearly_IncomeK,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Avg_Satisfaction_with_previous_vote,Avg_monthly_income_all_years,Most_Important_Issue,Overall_happiness_score,Avg_size_per_room,Weighted_education_rank,Vote
2474,-0.8882378162069459,-0.2960465170075547,2.108062791416573,2.023141767721778,-1.0557969769023545,7,-0.9603801423001591,-1.7505362456177993,-0.9891919503609686,1
47,0.9448335000714592,-0.6743190047177093,-0.9007732127162978,-1.1368104520329267,-0.8660928333064994,5,0.014072933735324922,-0.21976108324589919,-0.16394271782862835,3
9110,0.09532656852936983,0.08222597070259989,-0.3249830083897811,-0.8418451627213379,-1.0335503080642061,7,0.23879891839695389,0.20409639152458484,-0.42760327065710135,2
9281,-0.8693725882521081,0.0,-0.7732877433375414,0.1823398696105672,0.17118252808865647,0,-0.11326465410782949,-0.30684127607545836,-0.1768036349579143,9
2201,-0.9905673860225811,-1.0525914924278639,1.517926666573052,2.13178124670691,-0.3559991499601457,2,-0.9034074929205758,-1.2983010964133361,-0.7532229606589169,1
2618,-0.5057881949406888,-1.4308639801380185,-1.0702149783598458,-0.20366408924163532,0.17626825010226185,2,-0.08823334643286551,-0.1258674323023492,-0.02412419938674537,11
4965,-0.41031870801772186,1.2170434338330638,1.9536183842984518,1.515752916148757,-0.5950394520759112,1,-0.8130907217665824,-1.80990345745656,-0.9921690510073398,1
9699,-0.32571101900814636,0.4604984584127545,-0.672798310319383,-0.3948452952769245,0.0806238014825215,0,0.15149506773705812,0.1106840356702267,-0.29557144687382064,9
6380,0.8093468629412606,-0.2960465170075547,1.6726655084660622,0.22087957304942668,-0.615899498907179,7,0.725089613967187,1.8536397084249299,0.9643170747951477,1
1608,0.6747177361726455,-0.6743190047177093,-0.7693613010364407,-0.8500386429799933,0.839376030011448,3,0.18495833347986634,-0.3670588242241913,0.0004332691810529088,8
9737,-0.3002715449478348,0.08222597070259989,0.09581053756871574,0.7919954933008776,3.9480539551956944,7,0.058511482713081486,1.048172566008047,0.5714619785435802,0
